Uripivtautuvillage,English Translation
sansan,1_one
o-ru,2_two
ɛ-tɛl,3_three
awɛt͡s,4_four
elim,5_five
o-won,6_six
e-put,7_seven
ɛ-wɛl,8_eight
ɛ-siu,9_nine
asiŋaol,10_ten
sia,15_year
ni-matur,16_right
ni-mair,17_left
nɔ,18_i
kɛm_kabʷɔ,19_weallexcl
kɛru,20_webothincl
kɛmru_kopɔ,21_webothexcl
kɛr,22_weallincl
nik,23_thou
kami_kopɔ,24_youboth
kamru_oru,25_youall
nir,26_heshe
nir_kopɔ,27_theyall
noru,28_theyboth
ɛ-ʧige,29_nonot
ⁿʧe,30_what
se,31_who
ambɛ,32_where
sueliŋ,33_when
hɛrpese,34_how
niel,35_this
nokwan,36_that
-mare,37_above
-meluɛn,38_below
-loloim,39_ininside
ᵐbatu-n,40_head
ron,41_hair
ᵑgunsi-n,43_nose
ᵐborɔ-n,44_ear
ʧiŋɔ-n,45_mouth
nɛ-mɛ-n,46_tongue
liwɛ-n,47_tooth
neurɛ-n,48_hand
ᵐbɛrpari-n,49_shoulder
no-wɛ-n,50_neck
ⁿdao-n,51_back
ᵐbila-n,52_leg
ⁿdʳa-n,53_blood
ʧi-n,54_bone
ne-olɛ-n,55_skin
ⁿdopai-n,56_belly
ʧinɛ-n,57_intestines
na-sus,58_breast
nɛ-rɛn,59_liver
ᵑguli,60_dog
nu-men,61_bird
na-msal,62_fish
nu-mɛt,63_snake
ⁿdoto,64_worm
na-ot,65_louse
na-riu,66_rat
ne-la,67_spider
nom,68_mosquito
na-arlʊ-n,69_egg
no-lolai-n,70_tail
naᵐbɛ-n,71_wing
monɛ-n,72_feather
norman,73_man
nɛ-sewin,74_woman
ᵐbɛpwariŋ,75_child
ni-sɛ-n,76_name
mɛrɛn,77_mother
tɛte,78_father
ⁿdɛwɛnsɛn,79_husband
nɪsɛnʧɛn,80_wife
na-tɛrɛn,81_day
na-topoŋ,82_night
na-ul,83_moon
muʧo,84_star
mesa,85_sky
nu-wɔ,86_water
ⁿdes,88_sea
namb,89_fire
os,90_smoke
mesio,91_ash
ni-wɛt,92_stone
ⁿdan,93_earthsoil
ᵐbetimao,94_dust
ⁿdepenan,95_sand
na-os,96_rain
na-ᵐbor,97_cloud
lɛŋ,98_wind
ᵐbɛlwer,99_thunder
na-wil,100_lightning
wiso-n,101_meatflesh
nonɛn,102_fruit
lɛlmarul,103_woodsforest
lapɛ-n,104_root
rɛŋsi-n,105_branch
roin,106_leaf
na-i,107_wood
na-mus,108_grass
ni-at,110_thatchroof
na-im,111_house
ⁿdɛl,112_rope
sɛl,113_roadpath
-mɔtmɔt,114_black
-wis,115_white
-soŋsoŋ,116_red
-sɔ,121_sharp
-pat,122_bluntdull
-sɪʧ,127_bad
-wɛretun,128_correcttrue
-poroporo,129_dirty
-motmot,130_rotten
-rɔ,131_heavy
oto-aso,132_far
oto-mʷori,133_near
na-mlas,134_cold
-mɛs,135_dry
-mim,136_wet
-mɛ,139_come
-wɛl,140_walk
-tur,141_stand
-lɛk,142_sit
-ʧeo,143_fall
a-mʷɔsi,144_liedown
-rori,145_turn
-sa,146_climb
-lalos,147_swim
-rɔ,148_flyverb
wɛʧi,149_throw
-silwani,150_hide
-ain,151_eat
-mini,152_drink
-ᵐbori,155_dream
-matur,156_sleep
-maoɾ,157_live
-mɛʧ,158_die
-mɛtani,160_see
o-ruɲe,161_hear
mitɛ-n,162_sniffsmell
-men,163_laugh
-tɛŋ,164_cry
-wu,165_blow
-rɔrɔ,166_burn
-turi,167_sew
-reoreoʧi,168_pound
-reoʧi,169_hit
-tai,170_cut
-spe,171_split
-li,172_dig
tori,174_hold
-ɛmtɔ,175_fear
-we,176_count
-lu,178_vomit
-kai,179_tieup
tumtumi,180_squeeze
-sɔl,181_swell
-worai,182_say
-rorsi,183_scratch
-ʧuʧi,184_stab
-wuli,185_buy
-wina,186_steal
-ruwi,187_plant
-taᵐbu,188_cook
-luwe,189_shoot
-maʧiŋ,190_work
ɛ-wɛ,191_open
