Nleovandue,English Translation
tea,1_one
rua,2_two
tolu,3_three
ɸesi,4_four
lime,5_five
ono,6_six
ᵐbitu,7_seven
welu,8_eight
siwo,9_nine
haŋaβulu,10_ten
ŋaβulɣeirue,11_twenty
ŋaβuluɣeilim,12_fifty
ɸuⁿdolue,13_onehundred
teri,14_onethousand
hiɣao,15_year
matue,16_right
mawiri,17_left
neu,18_i
kamai,19_weallexcl
kiⁿderu,20_webothincl
kiⁿde,22_weallincl
niᵑɡo,23_thou
kimiru,24_youboth
kimiuᵐbulu,25_youall
ŋʲe,26_heshe
ɲẽ,26_heshe
ŋere,27_theyall
ŋereᵐbulu,28_theyboth
hetea,29_nonot
haβaɣi,30_what
hɛ̃:,31_who
loɣo,32_where
taɣaha,33_when
waraha,34_how
ŋiŋaha,35_this
ŋeβahĩ,36_that
namawe,37_above
ɸaβaɣi,38_below
lõlõ,39_ininside
ᵑɡʷatu,40_head
ɸulu,41_hair
matam,42_eye
ᵑɡʷaŋo,43_nose
ᵑɡʷero,44_ear
ua,45_mouth
mea,46_tongue
liβʷo,47_tooth
liβo,47_tooth
lime,48_hand
siᵑɡʷe,49_shoulder
ⁿdilo,50_neck
kaxere,51_back
ᵑɡaruᵑɡu,52_leg
ⁿdaĩ,53_blood
hui,54_bone
ɸinu,55_skin
taᵑɡʷaŋi,56_belly
ⁿdiŋʷaŋo,57_intestines
huhu,58_breast
ate,59_liver
wiriu,60_dog
manu,61_bird
iɣe,62_fish
ŋʷata,63_snake
nuβe,64_worm
kutu,65_louse
kariβi,66_rat
xariβi,66_rat
taɣaɣa,67_spider
nam,68_mosquito
toli,69_egg
kolo,70_tail
ᵐbahi,71_wing
ɸulu,72_feather
ŋʷera,73_man
ɸaβine,74_woman
maresu,75_child
hena,76_name
rataxiᵑɡu,77_mother
retamaᵑɡu,78_father
tamainetum,79_husband
kexoram,80_wife
reĩ,81_day
ᵐboĩ,82_night
ɸule,83_moon
ɸisiu,84_star
ⁿdoⁿdo,85_sky
wai,86_water
wai_loβaturuwei,87_lake
wai_loɸaturuwɛʲ,87_lake
tahi,88_sea
haβi,89_fire
aβi,89_fire
ahu,90_smoke
ᵑɡʷie,91_ash
ɸatu,92_stone
tã,93_earthsoil
ᵑɡʷie,94_dust
one,95_sand
uhe,96_rain
ⁿdoⁿdo,97_cloud
laĩ,98_wind
mantawa,99_thunder
ɸile,100_lightning
ᵐbiɣi,101_meatflesh
ŋʷasiɣi,102_fruit
tamatue,103_woodsforest
kʷari,104_root
raŋa,105_branch
rau,106_leaf
kai,107_wood
xai,107_wood
ⁿduβu,108_grass
ɸire,109_flower
ɸalelawa,110_thatchroof
ɸale,111_house
xaro,112_rope
tureɣi,113_roadpath
maeto,114_black
maβute,115_white
memea,116_red
ᵑɡʷaruᵑɡʷaroɣa,117_green
aŋoɣa,118_yellow
lawa,119_big
ᵐbiti,120_small
hoɣo,121_sharp
ᵑɡʷatoa,122_bluntdull
maemae,123_shyashamed
sesea,124_old
kakarasi,125_painfulsick
karea,126_good
wesi,127_bad
ᵐbakoto,128_correcttrue
ᵐbaxoto,128_correcttrue
maeto,129_dirty
maⁿda,130_rotten
maβa,131_heavy
ɸaɣahao,132_far
ᵑɡaᵑɡaraĩ,133_near
kaŋʷaⁿdiⁿdi,134_cold
mamaha,135_dry
ᵐbiᵐbilu,136_wet
karaᵑɡʷa,137_new
ⁿdolue,138_other
fanai,139_come
ⁿdiɣe,140_walk
laᵐbe,141_stand
toɣa,142_sit
soi,143_fall
ẽno,144_liedown
tuⁿdori,145_turn
ᵑɡalo,146_climb
kaɣaru,147_swim
xaɣaru,147_swim
olo,148_flyverb
tuli,149_throw
taβuniɣi,150_hide
xinaɣa,151_eat
ĩnu,152_drink
maomao,153_yawn
loⁿdo,154_spit
ᵐboᵐbore,155_dream
maturu,156_sleep
maᵐbu,157_live
mate,158_die
weβa_mate,159_kill
leo,160_see
rõ,161_hear
ᵐboni,162_sniffsmell
mana,163_laugh
ŋara,164_cry
here,165_blow
kao,166_burn
turu,167_sew
wehe,168_pound
we,169_hit
tai,170_cut
ⁿdare,171_split
keli,172_dig
tureɣi,173_hunt
wiriᵐbiᵐbi,174_hold
mataɣu,175_fear
ɸalu,176_count
maᵐbuhe,177_breathe
lue,178_vomit
liɣo,179_tieup
wiri,180_squeeze
ᵑɡulo,181_swell
ɸeβe,182_say
taᵑɡari,183_scratch
hule,184_stab
ɸʷoli,185_buy
ᵐbalu,186_steal
riβu,187_plant
kʷoβu,188_cook
ɸene,189_shoot
ᵑɡea,190_work
roaɛ,191_open
