Mandrifaru,English Translation
a-ʧkai,1_one
a-ru,2_two
a-rl,3_three
a-vaʧ,4_four
a-rm,5_five
alɪmɪro-ʧkai,6_six
alɪmraxa-ru,7_seven
alɪmraxa-rl,8_eight
ti-ɣavui,16_right
ti-mʷair,17_left
aɣanau,18_i
ⁿdari,22_weallincl
xaiuŋk,23_thou
aŋai,26_heshe
asi,31_who
ambi,32_where
saᵐboŋ,33_when
a-kɪnaᵐbi,34_how
ŋaisao,35_this
-amiɛx,37_above
-pevɪn,38_below
ᵐbʷarə-m,40_head
na-vɪrxor,41_hair
na-mɛra-m,42_eye
na-ᵑgunsu-m,43_nose
ⁿdariŋa-m,44_ear
ᵐboŋo-m,45_mouth
meluwə-m,46_tongue
na-ruvo-m,47_tooth
na-vɛra-ŋk,48_hand
ᵐbarvosu-m,49_shoulder
ɣaluə-m,50_neck
nɪ-maⁿdrɪ-m,51_back
na-lɛ-ŋk,52_leg
ⁿdʳe,53_blood
ᵐʙulᵐʙul,54_bone
na-ɣulɣul,55_skin
na-ᵐbaɣavu-m,56_belly
ni-ʧɪnɪ-m,57_intestines
na-sus,58_breast
na-βiβus,59_liver
a-lipax,60_dog
nɪ-man,61_bird
na-jɪx,62_fish
na-mʷar,63_snake
na-buᵐbəɣao,64_worm
na-ɣur,65_louse
ɣasu,66_rat
na-ᵑgaᵑgao,67_spider
nɪ-nam,68_mosquito
mavɪⁿdʳʊr,69_egg
na-ᵐʙɪʧɪ-n,70_tail
na-ɣaᵐbɪ-n,71_wing
na-vurxor,72_feather
n-rɛn,73_man
na-pɪnevʊr,74_woman
na-raɣe,75_child
na-ɣsa-m,76_name
nana_sa-ŋk,77_mother
tata_sa-ŋk,78_father
nɛ-ren_sa-ŋk,79_husband
na-pɪnevʊr_sa-m,80_wife
orumtas,81_day
nɪ-mæloŋk,82_night
na-ɣaᵐbaʧɪ,83_moon
mʷaʧi,84_star
no-xoi,86_water
na-numʙ,87_lake
nɪ-ras,88_sea
na-ɣamp,89_fire
ᵐbʷasɪ-n,90_smoke
maʧiav,91_ash
nɪ-var,92_stone
nɪ-ran,93_earthsoil
maʧiaɸ,94_dust
na-ᵐbɪŋan,95_sand
na-us,96_rain
mæroŋk,97_cloud
nɪ-laŋ,98_wind
na-ɣorve,99_thunder
kaᵐbl,100_lightning
nɪ-vaɣar,102_fruit
na-liɣaiɣai,103_woodsforest
ɣaʧɪ-n,104_root
ᵐbaʧɪ-n,105_branch
raun,106_leaf
na-xai,107_wood
na-ᵐbolᵐbol,108_grass
niar,110_thatchroof
ⁿdʳujar,110_thatchroof
na-likalim,111_house
na-ɣao,112_rope
nɪ-sal,113_roadpath
a-mɛɾmɛɾ,114_black
ŋa-ᴩʊx,115_white
a-paŋpaŋ,116_red
a-kɪʧɪn,117_green
a-lʉtlʉt,118_yellow
a-lamp,119_big
a-marɪʧ,120_small
-kan,121_sharp
a-ᵐʙut,122_bluntdull
na-ɣaivur,124_old
na-mɪsax,125_painfulsick
ᵑga-bu,126_good
a-samᴩ,127_bad
-samp,127_bad
-lamlam,128_correcttrue
naslo-mɛrmɛɾ,129_dirty
a-mom,130_rotten
ᵑga-miɸ,131_heavy
-aʧuⁿdʳ,132_far
-pɛʧaŋk,133_near
naur_a-mɪs,135_dry
a-mʊʧmʊʧ,136_wet
a-vupu,137_new
ᵑga-mai,139_come
ⁿdara-van,140_walk
ᵑga-sumbsump,142_sit
ᵑga-ⁿdɪm,143_fall
ᵑgapaʧ_lupin,144_liedown
ᵑga-sax,146_climb
a-sɪvox,148_flyverb
ᵑga-koᵐbuni,149_throw
ᵑga-suani,150_hide
ᵑga-kan,151_eat
ᵑga-mun,152_drink
ᵑga-ᴩurai,154_spit
ᵑgapaʧ_muᵐbar,155_dream
ᵑgapaʧ,156_sleep
a-maur,157_live
a-mæʧ,158_die
ᵑga-tamusia-mæʧ,159_kill
ᵑgaᵐʙu-rusi,160_see
ᵑga-toni,161_hear
ᵑgato_naᵐbon,162_sniffsmell
ᵑga-mɪn,163_laugh
ᵑga-raŋ,164_cry
a-vuvuv,165_blow
ᵑga-paŋ,166_burn
ᵑga-tamusi,169_hit
ᵑga-ʧakuʧi,170_cut
ᵑga-ʧaporai,171_split
ᵑga-tiŋao,174_hold
ᵑga-mɪrax,175_fear
ᵑga-pɪpəx,176_count
ka-pɛlɪvɪn-laŋ,177_breathe
ᵑga-lu,178_vomit
ᵑga-ᵐbaŋsi,179_tieup
ᵑga-ᵐʙusi,180_squeeze
a-tumʙ,181_swell
ᵑga-kali,182_say
ᵑga-suvsuwi,183_scratch
ᵑga-ᵐbuti,185_buy
ᵑga-pɪnaɣi,186_steal
pɪlaɣi,186_steal
ⁿdara-lumʷi,187_plant
ka-vɪni,189_shoot
ka-ᵑgas,190_work
ᵑga-ʧɪŋavuni,191_open
