Unuambatumbo,English Translation
soɣa,1_one
ɣɛru,2_two
ɣɛtez,3_three
ɣevit͡ʃ,4_four
ɣeʒim,5_five
morovtɛs,6_six
morovrʉ,7_seven
rovtuʒ,8_eight
ropit͡ʃ,9_nine
saŋavʉʒ,10_ten
ŋavʉrgeru,11_twenty
ŋavʉʒgerim,12_fifty
iŋotvaɣasoɣa,13_onehundred
nu-ruŋ,15_year
tin,16_right
xi-maiɾ,17_left
ɣina,18_i
raru_xeru,20_webothincl
mɛmru,21_webothexcl
rati,22_weallincl
ɣai,23_thou
ɣini,26_heshe
rati,27_theyall
raru,28_theyboth
i-t͡ʃɛgɛ,29_nonot
hɛtɛn,30_what
asiŋo,31_who
hambe,32_where
natumɛrɛᵐbe,33_when
nuŋɔ,35_this
ŋaŋ,36_that
-rapɛn,38_below
-ʒɛnaim,39_ininside
nɪ-ᵐbʷit,40_head
sivʉr,41_hair
nɛ-mat,42_eye
honsi-n,43_nose
rɛʒiŋɛ-n,44_ear
no-ᵐbo-m,45_mouth
romɛ-n,46_tongue
ne-riβ,47_tooth
nɛ-var,48_hand
botɣovɛ_gina,49_shoulder
sɛrnigeal,50_neck
ⁿdure_gina,51_back
baraŋo-ŋ,52_leg
na-ra,53_blood
buraŋo-ŋ,54_bone
vʷɛr-n_ᵐbɛ_gina,55_skin
ⁿdaᵐbaŋo-ŋk,56_belly
t͡ʃinɛ_gina,57_intestines
na-sus,58_breast
nɛ-tɛtɛ-n,59_liver
kuriˑ,60_dog
nɪ-mɪn,61_bird
na-ix,62_fish
na-mat,63_snake
t͡ʃurɪt͡ʃ,64_worm
na-ɣut,65_louse
ɣasuf,66_rat
romrɔ,67_spider
no-num,68_mosquito
xoʒi-n,69_egg
ᵐʙurtɛ-n,70_tail
xaᵐbɛ-n,71_wing
bʷanɛ-n,72_feather
aris,73_man
dɪsevin,74_woman
ruᵐboru-m,75_child
na-ɣis,76_name
mira,77_mother
mʷotara,78_father
aris_sehina,79_husband
dɪsevin_sehina,80_wife
imuriɛn,81_day
aᵐbuŋ,82_night
na-βʉʒ,83_moon
mat͡ʃo,84_star
na-ᵐbor,85_sky
nu-e,86_water
rɛᵐbrɛᵐb,87_lake
ne-tiz,88_sea
nu-ɣʊᵐp,89_fire
na-sun,90_smoke
ⁿdɛn_na-ɣump,91_ash
nɪ-vɪt,92_stone
na-tan,93_earthsoil
misinup,94_dust
na-on,95_sand
na-os,96_rain
rɔrɔ,97_cloud
ne-rim,98_wind
ᵐbarəvɛɾɛ,99_thunder
navɛr_i-viʒ,100_lightning
wisego-n,101_meatflesh
fʷɛnɛn,102_fruit
ronɣɛtɛra,103_woodsforest
raᵐbʷɛ-n,104_root
ᵐʙut͡ʃi-n,105_branch
a-raon,106_leaf
ni-ge,107_wood
na-ᵐbuᵐʙ,108_grass
ruŋɛn,109_flower
ni-at,110_thatchroof
na-im,111_house
nɛ-tɪz,112_rope
nɛ-sɛl,113_roadpath
i-mɛt,114_black
i-poɾo,115_white
i-pʷarpʷar,116_red
i-er,117_green
i-eŋaŋ,118_yellow
i-ras,119_big
i-kiki,120_small
i-soɾ,121_sharp
i-turu,123_shyashamed
i-tara,124_old
i-kuᵐbux,125_painfulsick
i-vu,126_good
i-ze,127_bad
wu-vuretin,128_correcttrue
ranu,129_dirty
i-roɸ,131_heavy
-taratin,132_far
-morix,133_near
-maragus,134_cold
i-mes,135_dry
i-moŋ,136_wet
i-mɛrmɛr,137_new
-vena,139_come
ba-ɣaɣa,140_walk
ᵐbu-tu,141_stand
u-non,142_sit
i-rum,143_fall
bɛri_ɡina,145_turn
wo-sax,146_climb
wo-rorogɛni,150_hide
-ɣɪnɛn,151_eat
bu-mɪn,152_drink
-riton,154_spit
na-ᵐbor,155_dream
i-maoɾu,157_live
i-miʧ,158_die
ᵐbu-ᵐbari_ᵐbimiʧ,159_kill
u-ke,160_see
u-re,161_hear
naᵐboŋ,162_sniffsmell
hu-mɛn,163_laugh
i-ŋara,164_cry
i-vhuvhuv,165_blow
wu-pam,166_burn
ᵐbu-ᵐbarᵐbari,168_pound
ᵐbu-ᵐbari,169_hit
ᵐbu-tɛvorai,171_split
ᵐbu-gɛri,172_dig
-tutori,174_hold
no-mtoxtox,175_fear
ᵑgu-pegeni,176_count
-rɪveneriŋ,177_breathe
o-ru,178_vomit
bʷo-t͡ʃari_nwiterter,179_tieup
-ᵐbitiŋi,180_squeeze
no-vorai,182_say
ᵐbu-sari,184_stab
vɛri,185_buy
wo-vunaɣe,186_steal
ᵐbu-rɪvʷi,187_plant
-taxaᵐbux,188_cook
ᵐbu-ruga,189_shoot
ᵐbo-mat͡ʃiŋ,190_work
ᵐbu-voɣa,191_open
