Nsungwadianaone,English Translation
ɸati,1_one
rua,2_two
tolu,3_three
ɸati,4_four
taβalima,5_five
laβatea,6_six
laβarua,7_seven
laβatolu,8_eight
laβat,9_nine
saŋɡʊɫ,10_ten
sawul_rua,11_twenty
sawul_taβalima,12_fifty
ŋʷeⁿdolu,13_onehundred
tari,14_onethousand
tau,15_year
matoa,16_right
xalawa,17_left
nau,18_i
kami,19_weallexcl
xiⁿda_rua,20_webothincl
ɡami_rua,21_webothexcl
xiⁿda,22_weallincl
niko,23_thou
ɡamu_rua,24_youboth
ɡamu,25_youall
ia,26_heshe
ira,27_theyall
ira_rua,28_theyboth
ⁿdiɣai,29_nonot
saβa,30_what
sei,31_who
ᵐbea,32_where
saβmas_ɡʷala,33_when
saβmas_ᵏpʷala,33_when
ⁿdisɸinia,34_how
ⁿdaɣasnia,34_how
ɡika,35_this
giaɣa,35_this
ɡiβano,36_that
wõŋana,37_above
βeĩna,38_below
lolona,39_ininside
ᵏpʷatu-i,40_head
ulu-i,41_hair
mata-i,42_eye
lisu-i,43_nose
ᵏpʷoro-i,44_ear
ɸala-i,45_mouth
luema-i,46_tongue
liwo-i,47_tooth
lima-i,48_hand
tiᵏpʷaŋi,49_shoulder
ⁿdaloi,50_neck
taow-i,51_back
roŋo-i,52_leg
ⁿdai,53_blood
suri,54_bone
ɸinu-i,55_skin
taᵏpʷaŋi,56_belly
tinei,57_intestines
susu,58_breast
ɸarai,59_liver
wiriu,60_dog
manman_ririki,61_bird
masi,62_fish
ŋʷaxata,63_snake
ŋʷaɣata,63_snake
sulate,64_worm
wutu,65_louse
xariβi,66_rat
taɣaɣa,67_spider
namu,68_mosquito
toli,69_egg
xolo-i,70_tail
ᵐbani,71_wing
ulu-i,72_feather
tatua,73_man
taiŋʷa,74_woman
mʷermʷera_riki,75_child
sasa-i,76_name
raβe,77_mother
tata,78_father
tuᵐbu-na,79_husband
raten_ᵐbuku,80_wife
maran,81_day
ᵏpʷoŋi,82_night
gʷoŋi,82_night
wula,83_moon
ɸitiu,84_star
tuᵏpʷa,85_sky
ᵐbei,86_water
ᵐbʷaka,87_lake
tarasi,88_sea
tasi,88_sea
aβi,89_fire
asu,90_smoke
ⁿdiɣeβu,91_ash
βatu,92_stone
tano,93_earthsoil
takwaswas,94_dust
one,95_sand
usa,96_rain
taetae,97_cloud
laŋi,98_wind
manbara,99_thunder
waŋa,100_lightning
ᵐbiɣi,101_meatflesh
oina,102_fruit
lolwono,103_woodsforest
xʷarina,104_root
raina,105_branch
ⁿdou-i,106_leaf
xaiɣa,107_wood
ɸalis,108_grass
mamtasina,109_flower
ⁿdau,110_thatchroof
ɸale,111_house
xae,112_rope
sala,113_roadpath
aᵏpʷaaᵏpʷa,114_black
siŋaɾa,115_white
siŋara,115_white
memea,116_red
ɣesaɣa,117_green
aŋʷaɣa,118_yellow
aŋʷaxa,118_yellow
lata,119_big
menasi,119_big
riki_ɸaɸai,120_small
xaɣani,121_sharp
ᵏpʷat_ᵏpʷato,122_bluntdull
meamea,123_shyashamed
ŋoiɣa,124_old
ŋoiɣi,124_old
xaⁿdiri,125_painfulsick
wia,126_good
seseta,127_bad
taniɣa,128_correcttrue
oroɣa,129_dirty
ⁿdaru,130_rotten
weⁿda,131_heavy
soai,132_far
ɸirtaɣi,133_near
maⁿdiŋi,134_cold
mamasa,135_dry
ᵏpʷoᵏpʷoɣa,136_wet
xaraᵏpʷa,137_new
tuara,138_other
sumai,139_come
rasu,140_walk
turβa_tura,141_stand
toɰsuɰʷo,142_sit
toɣsuɰʷo,142_sit
waⁿdaŋe,143_fall
eβa,144_liedown
sorisa,145_turn
ɸenaɣa,146_climb
βenaɣa,146_climb
xaɣaru,147_swim
xaɣa,148_flyverb
wasaɣia,149_throw
wasaksonia,149_throw
tau_niɣi,150_hide
xanɣani,151_eat
ima,152_drink
taraŋaβa,153_yawn
wuɾa,154_spit
ᵑɡʷore,155_dream
maturu,156_sleep
awe,157_live
mate,158_die
ᵏpʷisɸa_mate,159_kill
asɸa_mate,159_kill
ete,160_see
roŋo,161_hear
reβe,162_sniffsmell
mana,163_laugh
ŋara,164_cry
sere,165_blow
aᵏpʷa,166_burn
tataɣa,167_sew
asasiɣa,168_pound
ᵏpʷisi,169_hit
asa,169_hit
tai,170_cut
titi,171_split
xili,172_dig
xarɣarβaɣ,173_hunt
tora,174_hold
ruwaɣa,175_fear
ɸalu,176_count
maᵐbusa,177_breathe
lulua,178_vomit
eti,179_tieup
ɸiɸira,180_squeeze
loloᵐbu,181_swell
ɸeti,182_say
takara,183_scratch
susuɣa,184_stab
woli,185_buy
ᵐbalu,186_steal
riwu,187_plant
tutunu,188_cook
ɸene,189_shoot
ᶰdamasiŋa,190_work
saŋaβa,191_open
